iter	Passed	Remaining
793	6666	1729
794	6674	1721
795	6683	1712
796	6692	1704
797	6701	1696
798	6709	1687
799	6715	1678
800	6721	1669
801	6727	1660
802	6733	1651
803	6741	1643
804	6750	1635
805	6758	1626
806	6766	1618
807	6774	1609
808	6783	1601
809	6790	1592
810	6798	1584
811	6806	1575
812	6814	1567
813	6823	1559
814	6831	1550
815	6838	1542
816	6847	1533
817	6854	1525
818	6862	1516
819	6870	1508
820	6878	1499
821	6886	1491
822	6894	1482
823	6903	1474
824	6911	1465
825	6918	1457
826	6926	1449
827	6934	1440
828	6942	1432
829	6950	1423
830	6958	1415
831	6966	1406
832	6975	1398
833	6983	1389
834	6991	1381
835	6999	1373
836	7007	1364
837	7015	1356
838	7023	1347
839	7031	1339
840	7039	1330
841	7049	1322
842	7059	1314
843	7066	1306
844	7072	1297
845	7079	1288
846	7087	1280
847	7095	1271
848	7102	1263
849	7111	1254
850	7119	1246
851	7127	1238
852	7135	1229
853	7143	1221
854	7152	1213
855	7160	1204
856	7168	1196
857	7177	1187
858	7187	1179
859	7195	1171
860	7204	1163
861	7212	1154
862	7221	1146
863	7229	1137
864	7238	1129
865	7246	1121
866	7256	1113
867	7263	1104
868	7270	1096
869	7279	1087
870	7287	1079
871	7294	1070
872	7303	1062
873	7311	1054
874	7320	1045
875	7328	1037
876	7336	1028
877	7344	1020
878	7354	1012
879	7362	1003
880	7370	995
881	7379	987
882	7387	978
883	7395	970
884	7402	961
885	7410	953
886	7418	945
887	7426	936
888	7433	928
889	7441	919
890	7449	911
891	7457	902
892	7466	894
893	7474	886
894	7482	877
895	7490	869
896	7498	861
897	7505	852
898	7514	844
899	7522	835
900	7529	827
901	7537	818
902	7544	810
903	7552	802
904	7561	793
905	7568	785
906	7576	776
907	7584	768
908	7592	760
909	7600	751
910	7608	743
911	7616	734
912	7624	726
913	7632	718
914	7640	709
915	7648	701
916	7656	693
917	7664	684
918	7673	676
919	7681	667
920	7689	659
921	7697	651
922	7704	642
923	7712	634
924	7720	625
925	7728	617
926	7737	609
927	7746	600
928	7753	592
929	7764	584
930	7773	576
931	7780	567
932	7789	559
933	7797	550
934	7806	542
935	7814	534
936	7824	526
937	7832	517
938	7841	509
939	7849	501
940	7857	492
941	7865	484
942	7873	475
943	7882	467
944	7890	459
945	7898	450
946	7906	442
947	7914	434
948	7922	425
949	7931	417
950	7939	409
951	7947	400
952	7955	392
953	7963	383
954	7971	375
955	7979	367
956	7987	358
957	7995	350
958	8003	342
959	8011	333
960	8019	325
961	8027	317
962	8035	308
963	8043	300
964	8051	292
965	8059	283
966	8068	275
967	8075	266
968	8083	258
969	8091	250
970	8100	241
971	8108	233
972	8116	225
973	8122	216
974	8128	208
975	8138	200
976	8149	191
977	8156	183
978	8166	175
979	8175	166
980	8184	158
981	8192	150
982	8201	141
983	8208	133
984	8215	125
985	8223	116
986	8230	108
987	8239	100
988	8248	91
989	8257	83
990	8266	75
991	8275	66
992	8282	58
993	8291	50
994	8299	41
995	8307	33
996	8314	25
997	8323	16
998	8331	8
999	8340	0
